Altium Designer Pick and Place Locations
C:\myrepo\rk3566-devkit\01.hardware\RK3566\Project Outputs for RK3566\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       20/12/25
Time:       13:33
Revision:   d39db37f90201424382ae6569ad25726d0ff8314
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"L7","470nH","BottomLayer","IND-SMD_L2.0-W1.6_MHCHL201610A-1R0M-Q8A","3136.787","2081.296","90","0806 MCS20FC-R47MHC"
"U30","ESD5451N","TopLayer","DFN1006-2L-BI","2488.232","2185.838","270","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"C162","100nF","TopLayer","C0402","4761.324","2357.326","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"U44","HX PZ2.54-1x6P ZZ","TopLayer","HDR-TH_6P-P2.54-V-M","3919.372","4235.159","180","6P 1x6P Gold Brass -40?~+105? Black Pin Header 2.54mm 2.5mm 6mm 1kV 3mm 3A 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins ROHS"
"U27","ZX-XH2.54-2PLT","TopLayer","CONN-SMD_2P-P2.50_HCTL_HC-XH-2ALT","3793.653","3893.974","0",";SMD,P=2.5mm;SMD,P=2.54mm"
"U25","ESD5451N","TopLayer","DFN1006-2L-BI","2805.235","2035.548","180","??? TVS(???????),?????????????????????????,???? ESD(????)?EFT(?????)????????????"
"R124","2.2kO","TopLayer","R0402","2705.000","1999.254","180","2.2kO ±1% 62.5mW ????"
"R123","100O","TopLayer","R0402","2705.285","2079.318","180","100O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"C253","220pF","TopLayer","C0402","2804.048","1999.934","180","16V 220pF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C252","1uF","TopLayer","C0402","2704.446","2038.800","180","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"U2","RK3566","TopLayer","BGA-565_L15.5-W14.4-P0.40_RK3566_1","4458.120","2918.552","225","BGA-565(15.5x14.4)"
"R122","2.2O","TopLayer","R0402","5597.832","2020.166","270","??????????????,?????????????????"
"R121","2.2O","TopLayer","R0402","5560.277","2019.771","270","??????????????,?????????????????"
"D1","ESD5344D-10/TR","TopLayer","DFN2510-10_L2.5-W1.0-P0.50-BL","4338.638","2124.639","0","ESD5344D???????TVS(???????)??,???????????????????????????????????,????ESD(????)?????????ESD5344D?????????????????TVS??????IEC61000 - 4 - 2??,ESD5344D?????±20kV(????)?ESD??;??IEC61000 - 4 - 5??,??????4A(8/20µs)????????ESD5344D??DFN2510 - 10L??????????????"
"USB4","TYPE-C 16PIN 2MD(073)","TopLayer","USB-C-SMD_TYPE-C-6PIN-2MD-073","2308.071","3130.162","270","16pin type-c"
"U22","CH224K","TopLayer","ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP","2350.854","2635.841","0","USBPD??????????CH224 ESSOP-10-150mil-1mm"
"R120","10kO","TopLayer","R0402","2367.992","2833.267","180","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R119","1kO","TopLayer","R0402","2293.619","2389.521","0","1kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R118","24kO","TopLayer","R0402","2294.568","2833.488","0","24kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"C251","10uF","TopLayer","C0603","2298.130","2438.174","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C250","100nF","BottomLayer","C0402","4079.182","1912.858","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"R117","10kO","TopLayer","R0402","5922.744","3962.270","0","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"C249","12pF","BottomLayer","C0402","2919.257","2423.512","270","50V 12pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C248","12pF","BottomLayer","C0402","2918.595","2513.842","90","50V 12pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"FPC1","AFE03-S31FMA-1H","BottomLayer","FPC-SMD_P0.30-31P_FGS-XJ-H1.0","2695.046","4328.537","0","FPC SMD,P=0.3mm,??"
"C239","100nF-0201","BottomLayer","C0201","4486.040","3089.973","315","CL03A104KO3NNNC"
"C54","100nF-0201","BottomLayer","C0201","4173.665","2950.580","45","CL03A104KO3NNNC"
"C234","100nF-0201","BottomLayer","C0201","4629.543","3034.781","225","CL03A104KO3NNNC"
"C226","1uF-0201","BottomLayer","C0201","4322.701","2845.320","225","CL03A104KO3NNNC"
"R38","0O","BottomLayer","R0402","4269.176","2809.711","45","??????????????,?????????????????"
"Q6","MMBT5401(RANGE:200-300)","BottomLayer","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","2640.701","2139.960","180","PNP hfe=200~300 PNP ??:0.6A ??:150V"
"Q5","MMBT5401(RANGE:200-300)","BottomLayer","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","2472.814","2139.960","180","PNP hfe=200~300 PNP ??:0.6A ??:150V"
"CN4","HC-1.25-2PWT","TopLayer","CONN-SMD_2P-P1.25-HC-1.25-2PWT","2709.665","1800.825","0","SMD,P=1.25mm,??  1x2P ??:1.25mm ?? ??:PicoBlade(MX 1.25)"
"CN3","HC-1.25-2PWT","TopLayer","CONN-SMD_2P-P1.25-HC-1.25-2PWT","3088.339","1803.832","0","SMD,P=1.25mm,??  1x2P ??:1.25mm ?? ??:PicoBlade(MX 1.25)"
"R116","NC","TopLayer","R0402","5095.297","2517.329","180","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R115","10kO","BottomLayer","R0402","5095.000","2515.000","0","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"U43","ESD5451N","TopLayer","DFN1006-2L-BI","5546.933","4277.378","0","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"U42","ESD5451N","TopLayer","DFN1006-2L-BI","5687.965","4276.378","180","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"R114","10kO","TopLayer","R0402","4663.618","2277.374","180","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"SW4","PTS815SJK250SMTRLFS","TopLayer","SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1","5922.744","2194.709","90","4pin ???? SMD?"
"U41","SY8113BADC","TopLayer","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","2705.000","2640.000","0","???500kHz 3A 18V????????? SY8113B???????500kHz????DC-DC???,????3A??????????????4.5V?18V,???????????,???????????????PWM??,????????????????????????????????500kHz????????????????????"
"R113","30kO","TopLayer","R0402","2819.362","2868.062","180","62.5mW 30K 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R112","15kO-NC","TopLayer","R0402","2689.814","2762.838","180","62.5mW 30K 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R111","2.2O","TopLayer","R0402","2483.686","2675.940","270","??????????????,?????????????????"
"R110","47kO","TopLayer","R0402","2555.895","2445.069","180","62.5mW 47kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R109","232kO","TopLayer","R0402","2819.386","2828.974","0","62.5mW 232kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"L11","6.8uH","TopLayer","IND-SMD_L4.4-W4.2","2884.625","2642.889","270","6.8uH ±20% 2.5A SMD,4.4x4.2x1.8mm   ????,??????,???"
"F2","BSMD0805L-200","TopLayer","F0805","2559.722","2656.098","270","6V 2A 0805???"
"C247","2.2uF","BottomLayer","C0402","2488.232","2717.932","270","50V 2.2uF NP0 0402 Ceramic Capacitors ROHS"
"C246","100nF","TopLayer","C0402","2694.000","2727.010","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C245","100nF","TopLayer","C0402","2556.227","2485.106","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C244","10uF","TopLayer","C0603","2551.414","2532.543","0","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C243","100nF","TopLayer","C0402","2906.322","2852.842","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C242","10uF","TopLayer","C0603","2955.895","2852.649","270","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C241","22pF","TopLayer","C0402","2820.168","2786.589","0","50V 22pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C240","100nF","TopLayer","C0402","2708.160","2558.468","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"U40","HX PZ2.54-1x6P ZZ","TopLayer","HDR-TH_6P-P2.54-V-M","3919.372","4360.668","180","6P 1x6P Gold Brass -40?~+105? Black Pin Header 2.54mm 2.5mm 6mm 1kV 3mm 3A 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins ROHS"
"U39","HX PZ2.54-1x6P ZZ","TopLayer","HDR-TH_6P-P2.54-V-M","5121.031","4360.668","180","6P 1x6P Gold Brass -40?~+105? Black Pin Header 2.54mm 2.5mm 6mm 1kV 3mm 3A 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins ROHS"
"U38","HX PZ2.54-1x6P ZZ","TopLayer","HDR-TH_6P-P2.54-V-M","4518.422","4360.668","0","6P 1x6P Gold Brass -40?~+105? Black Pin Header 2.54mm 2.5mm 6mm 1kV 3mm 3A 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins ROHS"
"R108","0O","BottomLayer","R0402","4654.800","3265.442","225","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R107","0O","BottomLayer","R0402","4598.897","3123.500","225","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
